status	family	pval	qval	gene_short_name	num_cells_expressed	use_for_ordering
7530428D23Rik	OK	negbinomial.size	0.489598054630766	0.957488162126501	7530428D23Rik	6	FALSE
8030462N17Rik	OK	negbinomial.size	0.740041929018115	0.999999999737279	8030462N17Rik	14	FALSE
9030025P20Rik	OK	negbinomial.size	0.0141243898952556	0.205857048105747	9030025P20Rik	31	FALSE
9030612E09Rik	OK	negbinomial.size	0.853168385042489	0.999999999737279	9030612E09Rik	39	FALSE
9030624G23Rik	OK	negbinomial.size	0.263526266270845	0.83161413067119	9030624G23Rik	17	FALSE
9130023H24Rik	OK	negbinomial.size	0.254494814735995	0.824311876000826	9130023H24Rik	6	FALSE
9130230L23Rik	OK	negbinomial.size	0.349180232218319	0.897208979188702	9130230L23Rik	34	FALSE
9130401M01Rik	OK	negbinomial.size	0.540764204690097	0.966293472928882	9130401M01Rik	26	FALSE
9330132A10Rik	OK	negbinomial.size	0.26780011132848	0.836498546754315	9330132A10Rik	11	FALSE
9330159F19Rik	OK	negbinomial.size	0.580148780295399	0.976860552769656	9330159F19Rik	37	FALSE
9330182L06Rik	OK	negbinomial.size	0.0340077885581956	0.34765482951628	9330182L06Rik	24	FALSE
9430015G10Rik	OK	negbinomial.size	0.0111755260230255	0.177211912650833	9430015G10Rik	36	FALSE
9430025C20Rik	OK	negbinomial.size	0.637355877442457	0.989627663329689	9430025C20Rik	31	FALSE
9430038I01Rik	OK	negbinomial.size	0.894454657905382	0.999999999737279	9430038I01Rik	35	FALSE
9430097D07Rik	OK	negbinomial.size	0.168014265725205	0.736562811843679	9430097D07Rik	8	FALSE
9530050K03Rik	OK	negbinomial.size	0.267737164711649	0.836490241020972	9530050K03Rik	13	FALSE
9530068E07Rik	OK	negbinomial.size	0.34964847481529	0.897208979188702	9530068E07Rik	35	FALSE
9530077C05Rik	OK	negbinomial.size	0.874106305626105	0.999999999737279	9530077C05Rik	19	FALSE
9930012K11Rik	OK	negbinomial.size	0.55228019517376	0.969117710226814	9930012K11Rik	6	FALSE
9930021J03Rik	OK	negbinomial.size	0.56073420470574	0.971861915492208	9930021J03Rik	22	FALSE
9930104L06Rik	OK	negbinomial.size	0.108783018398894	0.618845584372552	9930104L06Rik	13	FALSE
9930111J21Rik1	OK	negbinomial.size	0.0115813046281621	0.181508234466509	9930111J21Rik1	16	TRUE
9930111J21Rik2	OK	negbinomial.size	0.530783715500384	0.96343578806849	9930111J21Rik2	39	FALSE
A130010J15Rik	OK	negbinomial.size	0.164309088108906	0.730467349410789	A130010J15Rik	32	FALSE
A230050P20Rik	OK	negbinomial.size	0.746934180201974	0.999999999737279	A230050P20Rik	36	FALSE
A2ml1	OK	negbinomial.size	0.0143317901906206	0.208055653921003	A2ml1	19	FALSE
A330044P14Rik	OK	negbinomial.size	0.290302339541448	0.856747729007577	A330044P14Rik	24	FALSE
A330070K13Rik	OK	negbinomial.size	0.198786382290177	0.774764341088823	A330070K13Rik	18	FALSE
A430005L14Rik	OK	negbinomial.size	0.730397757035897	0.999999999737279	A430005L14Rik	22	FALSE
A430033K04Rik	OK	negbinomial.size	0.0351313080075446	0.352456181203674	A430033K04Rik	25	FALSE
A430078G23Rik	OK	negbinomial.size	0.216068584130727	0.793543765735553	A430078G23Rik	17	FALSE
A4galt	OK	negbinomial.size	0.583443515694641	0.97782883278001	A4galt	23	FALSE
A530064D06Rik	OK	negbinomial.size	0.661159800818724	0.994178934913326	A530064D06Rik	27	FALSE
A630001G21Rik	OK	negbinomial.size	0.720967931844333	0.999999999737279	A630001G21Rik	18	FALSE
A630010A05Rik	OK	negbinomial.size	0.425630112869405	0.929613171361434	A630010A05Rik	24	FALSE
A630073D07Rik	OK	negbinomial.size	0.207064271141338	0.785592110136862	A630073D07Rik	19	FALSE
A730009L09Rik	OK	negbinomial.size	0.034174947848144	0.348246681660782	A730009L09Rik	7	FALSE
A830005F24Rik	OK	negbinomial.size	0.245892965207775	0.818371257412124	A830005F24Rik	7	FALSE
A830018L16Rik	OK	negbinomial.size	0.417034359013415	0.925759427121417	A830018L16Rik	37	FALSE
A930004D18Rik	OK	negbinomial.size	0.591851883268175	0.979610491509073	A930004D18Rik	17	FALSE
A930017M01Rik	OK	negbinomial.size	0.943719941028604	0.999999999737279	A930017M01Rik	24	FALSE
A930033H14Rik	OK	negbinomial.size	0.879883881523378	0.999999999737279	A930033H14Rik	7	FALSE
AB124611	OK	negbinomial.size	0.0444091887322687	0.402730388013221	AB124611	7	TRUE
AC026385.2	OK	negbinomial.size	0.44037454311123	0.935423364934529	AC026385.2	8	FALSE
AC083895.1	OK	negbinomial.size	0.869508367673001	0.999999999737279	AC083895.1	18	FALSE
AC087233.2	OK	negbinomial.size	0.381718363472591	0.91204013568307	AC087233.2	8	FALSE
AC087802.1	OK	negbinomial.size	0.363296794400157	0.90425092965593	AC087802.1	9	FALSE
AC091332.1	OK	negbinomial.size	0.708516715671053	0.999999999737279	AC091332.1	19	FALSE
AC098880.1	OK	negbinomial.size	0.999999999628456	0.999999999737279	AC098880.1	7	FALSE
AC098880.2	OK	negbinomial.size	0.3241962665953	0.881537394084384	AC098880.2	8	FALSE
AC100724.1	OK	negbinomial.size	0.935259305614999	0.999999999737279	AC100724.1	6	FALSE
AC102410.1	OK	negbinomial.size	0.999999999628456	0.999999999737279	AC102410.1	7	FALSE
AC102437.1	OK	negbinomial.size	0.288557069306295	0.85467396250107	AC102437.1	16	FALSE
AC109138.1	OK	negbinomial.size	0.577236908985852	0.975710544567188	AC109138.1	25	FALSE
AC109138.2	OK	negbinomial.size	0.26651911108642	0.834563905737773	AC109138.2	25	FALSE
AC110262.4	OK	negbinomial.size	0.175838448406724	0.747615485282434	AC110262.4	6	FALSE
AC110514.1	OK	negbinomial.size	0.647540284940923	0.991342006294849	AC110514.1	25	FALSE
AC110534.5	OK	negbinomial.size	0.7947113699904	0.999999999737279	AC110534.5	33	FALSE
AC113953.1	OK	negbinomial.size	0.586979196088611	0.978298660147686	AC113953.1	9	FALSE
AC114990.3	OK	negbinomial.size	0.0317625811573501	0.335779206410624	AC114990.3	10	FALSE
AC115797.3	OK	negbinomial.size	0.352298065941678	0.899184689865507	AC115797.3	22	FALSE
AC115797.4	OK	negbinomial.size	0.339514191061529	0.892710861857498	AC115797.4	9	FALSE
AC115797.5	OK	negbinomial.size	0.897019787206587	0.999999999737279	AC115797.5	21	FALSE
AC115954.1	OK	negbinomial.size	0.944501519206574	0.999999999737279	AC115954.1	12	FALSE
AC116658.2	OK	negbinomial.size	0.224510634829928	0.800998986440024	AC116658.2	9	FALSE
AC117188.2	OK	negbinomial.size	0.871082728122454	0.999999999737279	AC117188.2	25	FALSE
AC117239.2	OK	negbinomial.size	0.240260006914392	0.810505129087573	AC117239.2	31	FALSE
AC117622.1	OK	negbinomial.size	0.0833645128002387	0.568926101208501	AC117622.1	11	FALSE
AC119928.1	OK	negbinomial.size	0.708859706390292	0.999999999737279	AC119928.1	18	FALSE
