Cell	CellType	Age
GSM2657239	Unknown	27
GSM2657240	Cck.Sema5a	27
GSM2657241	Cacna2d1.Lhx6.Reln	27
GSM2657242	Unknown	27
GSM2657243	Unknown	27
GSM2657244	Unknown	27
GSM2657245	Unknown	27
GSM2657246	Unknown	27
GSM2657247	Sst.Erbb4.Th	27
GSM2657248	Unknown	27
GSM2657249	Unknown	27
GSM2657250	Unknown	27
GSM2657251	Unknown	27
GSM2657252	Unknown	27
GSM2657253	Unknown	27
GSM2657254	Cck.Lmo1.Vip.Crh	27
GSM2657255	Unknown	27
GSM2657256	Unknown	27
GSM2657257	Unknown	27
GSM2657258	Unknown	27
GSM2657259	Unknown	27
GSM2657260	Unknown	27
GSM2657261	Unknown	27
GSM2657262	Calb2.Vip.Igfbp4	27
GSM2657263	Unknown	27
GSM2657264	Pvalb.Tac1.Syt2	27
GSM2657265	Unknown	27
GSM2657266	Unknown	27
GSM2657267	Unknown	27
GSM2657268	Unknown	27
GSM2657269	Cacna2d1.Lhx6.Reln	27
GSM2657270	Sst.Npy.Zbtb20	27
GSM2657271	Unknown	27
GSM2657272	Unknown	27
GSM2657273	Unknown	27
GSM2657274	Unknown	27
GSM2657275	Unknown	27
GSM2657276	Unknown	27
GSM2657277	Unknown	27
GSM2657278	Unknown	27
GSM2657279	Unknown	27
GSM2657280	Cck.Lmo1.Vip.Crh	27
GSM2657281	Unknown	27
GSM2657282	Unknown	27
GSM2657283	Unknown	27
GSM2657284	Unknown	27
GSM2657285	Unknown	27
GSM2657286	Unknown	27
GSM2657287	Sst.Npy.Cort	27
GSM2657288	Unknown	27
GSM2657289	Unknown	27
GSM2657290	Unknown	27
GSM2657291	Calb2.Vip.Igfbp4	27
GSM2657292	Unknown	27
GSM2657293	Unknown	27
GSM2657294	Unknown	27
GSM2657295	Cck.Lmo1.Vip.Tac2	27
GSM2657296	Unknown	27
GSM2657297	Unknown	27
GSM2657298	Unknown	27
GSM2657299	Cck.Lmo1.Npy	27
GSM2657300	Cck.Lmo1.Npy	27
GSM2657301	Unknown	27
GSM2657302	Unknown	27
GSM2657303	Unknown	27
GSM2657304	Unknown	27
GSM2657305	Sst.Npy.Cort	27
GSM2657306	Sst.Erbb4.Th	27
GSM2657307	Unknown	27
GSM2657308	Unknown	27
GSM2657309	Unknown	27
GSM2657310	Sst.Npy.Serpine2	27
GSM2657311	Unknown	27
GSM2657312	Unknown	27
GSM2657313	Unknown	27
GSM2657314	Unknown	27
GSM2657315	Unknown	27
GSM2657316	Unknown	27
GSM2657317	Unknown	27
GSM2657318	Unknown	27
GSM2657319	Unknown	27
GSM2657320	Unknown	27
GSM2657321	Unknown	27
GSM2657322	Unknown	27
GSM2657323	Unknown	27
GSM2657324	Unknown	27
GSM2657325	Sst.Npy.Serpine2	27
GSM2657326	Unknown	27
GSM2657327	Unknown	27
GSM2657328	Unknown	27
GSM2657329	Unknown	27
GSM2657330	Unknown	27
GSM2657331	Unknown	27
GSM2657332	Unknown	27
GSM2657333	Unknown	27
GSM2657334	Unknown	27
GSM2657335	Unknown	27
GSM2657336	Unknown	27
GSM2657337	Unknown	27
GSM2657338	Unknown	27
GSM2657339	Unknown	27
GSM2657340	Unknown	27
GSM2657341	Unknown	27
GSM2657342	Sst.Npy.Mgat4c	27
GSM2657343	Unknown	27
GSM2657344	Unknown	27
GSM2657345	Pvalb.Tac1.Syt2	27
GSM2657346	Unknown	27
GSM2657347	Unknown	27
GSM2657348	Unknown	27
GSM2657349	Unknown	27
GSM2657350	Unknown	27
GSM2657351	Unknown	27
GSM2657352	Unknown	27
GSM2657353	Unknown	27
GSM2657354	Unknown	27
GSM2657355	Unknown	27
GSM2657356	Unknown	27
GSM2657357	Unknown	27
GSM2657358	Vip.Crh.Pcp4	27
GSM2657359	Unknown	27
GSM2657360	Unknown	27
GSM2657361	Unknown	27
GSM2657362	Cck.Sema5a	27
GSM2657363	Unknown	27
GSM2657364	Unknown	27
GSM2657365	Unknown	27
GSM2657366	Unknown	27
GSM2657367	Unknown	27
GSM2657368	Unknown	27
GSM2657369	Unknown	27
GSM2657370	Unknown	27
GSM2657371	Unknown	27
GSM2657372	Unknown	27
GSM2657373	Unknown	27
GSM2657374	Unknown	27
GSM2657375	Unknown	27
GSM2657376	Ntng1.Synpr	27
GSM2657377	Unknown	27
GSM2657378	Unknown	27
GSM2657379	Unknown	27
GSM2657380	Unknown	27
GSM2657381	Unknown	27
GSM2657382	Unknown	27
GSM2657383	Unknown	27
GSM2657384	Unknown	27
GSM2657385	Sst.Erbb4.Th	27
GSM2657386	Unknown	27
GSM2657387	Unknown	27
GSM2657388	Unknown	27
GSM2657389	Unknown	27
GSM2657390	Unknown	27
GSM2657391	Unknown	27
GSM2657392	Unknown	27
GSM2657393	Unknown	27
