Cell	CellType
661318431	Sst Crh 4930553C11Rik 
661354351	Sst Tac2 Tacstd2
661390131	Sst Rxfp1 Eya1
661391859	Vip Ptprt Pkp2
661401628	Lamp5 Lsp1
661407806	Vip Ptprt Pkp2
661408488	Sst Calb2 Pdlim5
661409627	Vip Ptprt Pkp2
661411305	Vip Ptprt Pkp2
661422439	Vip Ptprt Pkp2
661423720	Vip Ptprt Pkp2
661482333	Sst Calb2 Pdlim5
661495648	Sst Hpse Cbln4
661500944	Sst Hpse Cbln4
661514378	Vip Rspo4 Rxfp1 Chat
661542876	Vip Ptprt Pkp2
663193112	Pvalb Gpr149 Islr
665104716	Sst Calb2 Pdlim5
665276770	Sst Rxfp1 Prdm8
665286365	Vip Crispld2 Kcne4
665468858	Sst Rxfp1 Eya1
665478543	Sst Calb2 Pdlim5
665502576	Sst Rxfp1 Eya1
665602299	Sst Hpse Cbln4
666141992	Pvalb Tpbg
666218416	Pvalb Tpbg
666219578	Pvalb Reln Itm2a
667163821	Sst Esm1
667457951	Sst Calb2 Pdlim5
667473755	Pvalb Tpbg
667473785	Sst Mme Fam114a1
667478348	Lamp5 Plch2 Dock5
667490926	Lamp5 Plch2 Dock5
667492234	Lamp5 Lsp1
667492978	Lamp5 Ntn1 Npy2r
667493822	Lamp5 Plch2 Dock5
668176228	Sst Rxfp1 Eya1
668249770	Sst Myh8 Etv1 
668464797	Vip Pygm C1ql1
668489573	Lamp5 Ntn1 Npy2r
669072736	Pvalb Gabrg1
669074640	Sst Calb2 Pdlim5
669112312	Sst Crhr2 Efemp1
669154876	Sst Hpse Cbln4
669165397	Sst Tac2 Tacstd2
669523148	Lamp5 Plch2 Dock5
669567574	Lamp5 Lsp1
669764794	Sst Chodl
669807010	Sst Chodl
669817511	Pvalb Tpbg
669825289	Sst Tac1 Htr1d
669838950	Pvalb Reln Itm2a
670066005	Pvalb Reln Itm2a
670091720	Pvalb Reln Itm2a
670153271	Pvalb Reln Tac1
670295503	Sst Chodl
670326711	Sst Chodl
670329639	Pvalb Tpbg
670340941	Sst Chodl
670607755	Lamp5 Plch2 Dock5
670666224	Lamp5 Ntn1 Npy2r
670686401	Sst Rxfp1 Eya1
670709216	Vip Crispld2 Kcne4
671529949	Pvalb Sema3e Kank4
671547731	Pvalb Tpbg
671943738	Lamp5 Ntn1 Npy2r
672318911	Sst Hpse Cbln4
672346340	Sst Hpse Cbln4
672392283	Sst Hpse Cbln4
672444950	Sst Hpse Sema3c
672494596	Sst Tac2 Tacstd2
672823119	Sst Myh8 Etv1 
672871389	Sncg Gpr50
672871774	Vip Lmo1 Myl1
672918290	Sst Esm1
672977850	Pvalb Gabrg1
673082762	Pvalb Tpbg
673121351	Lamp5 Plch2 Dock5
673139917	Lamp5 Plch2 Dock5
673395815	Sst Crhr2 Efemp1
673427380	Sst Chrna2 Glra3
673692648	Sncg Gpr50
673724358	Lamp5 Plch2 Dock5
673769249	Sst Calb2 Pdlim5
674069192	Sst Calb2 Pdlim5
674144712	Pvalb Reln Itm2a
674168545	Pvalb Reln Itm2a
674238221	Sst Hpse Cbln4
674238265	Lamp5 Plch2 Dock5
674246494	Lamp5 Plch2 Dock5
674247723	Lamp5 Plch2 Dock5
674251116	Vip Lmo1 Myl1
674260498	Vip Lmo1 Myl1
674419902	Sst Hpse Cbln4
674420128	Sst Calb2 Pdlim5
674471452	Lamp5 Plch2 Dock5
674482551	Sst Esm1
674537160	Sst Calb2 Pdlim5
674556708	Lamp5 Lsp1
674559170	Lamp5 Lsp1
674566874	Vip Lmo1 Fam159b
674582479	Lamp5 Lsp1
674587352	Vip Crispld2 Kcne4
674588640	Vip Ptprt Pkp2
675025710	Lamp5 Lsp1
675026566	Vip Lmo1 Fam159b
675027801	Lamp5 Lsp1
675772724	Pvalb Reln Itm2a
675904449	Sst Tac2 Tacstd2
676685241	Vip Lmo1 Myl1
676757248	Lamp5 Lsp1
676767745	Vip Ptprt Pkp2
676768413	Vip Col15a1 Pde1a
677042504	Lamp5 Lsp1
677077832	Sst Hpse Sema3c
678519215	Vip Ptprt Pkp2
678605510	Pvalb Reln Itm2a
678626969	Pvalb Akr1c18 Ntf3
678632250	Vip Crispld2 Kcne4
678641945	Vip Chat Htr1f
678656656	Vip Lect1 Oxtr
678708083	Vip Ptprt Pkp2
678708195	Vip Lmo1 Myl1
678711682	Pvalb Akr1c18 Ntf3
679028081	Sst Calb2 Necab1
679068460	Sst Hpse Cbln4
679226264	Vip Lmo1 Myl1
679300054	Pvalb Gabrg1
679447960	Sst Tac1 Htr1d
679475427	Sst Esm1
679512991	Sst Rxfp1 Prdm8
679578958	Vip Pygm C1ql1
679590711	Pvalb Gabrg1
679620100	Pvalb Gabrg1
679649396	Vip Arhgap36 Hmcn1
679650759	Vip Lect1 Oxtr
679863446	Sst Hpse Cbln4
679920275	Pvalb Tpbg
679932490	Pvalb Tpbg
680027413	Vip Lect1 Oxtr
680100714	Sst Nts
680108584	Pvalb Gabrg1
680553572	Vip Pygm C1ql1
680752163	Sst Hpse Cbln4
680852136	Lamp5 Lsp1
680898048	Lamp5 Lsp1
680956432	Sst Rxfp1 Eya1
680964142	Lamp5 Lsp1
681359761	Vip Lmo1 Myl1
681586118	Vip Lect1 Oxtr
681631284	Vip Ptprt Pkp2
681793778	Vip Crispld2 Htr2c
681837535	Vip Pygm C1ql1
681887486	Pvalb Reln Itm2a
681907924	Sst Calb2 Pdlim5
682128272	Vip Ptprt Pkp2
682131764	Vip Lmo1 Fam159b
682135792	Vip Col15a1 Pde1a
682145219	Vip Lmo1 Myl1
682151312	Pvalb Reln Itm2a
682158343	Lamp5 Lsp1
682163968	Lamp5 Lsp1
682176818	Sst Rxfp1 Prdm8
682177103	Lamp5 Lsp1
682223987	Sst Calb2 Pdlim5
682239403	Pvalb Reln Itm2a
682320370	Lamp5 Lsp1
682331689	Lamp5 Lsp1
682332013	Pvalb Reln Tac1
682402048	Pvalb Reln Itm2a
682454193	Pvalb Tpbg
683594240	Pvalb Tpbg
683782728	Pvalb Reln Itm2a
683811404	Sst Mme Fam114a1
683834014	Sst Hpse Sema3c
683840204	Sst Myh8 Fibin
683958677	Pvalb Reln Itm2a
684907719	Sst Hpse Cbln4
685314490	Vip Lmo1 Fam159b
685382599	Lamp5 Lsp1
685611222	Sst Calb2 Pdlim5
685624703	Sst Crhr2 Efemp1
685636842	Sst Crhr2 Efemp1
685707621	Pvalb Th Sst
685736302	Pvalb Reln Itm2a
685762610	Sst Hpse Sema3c
686334539	Lamp5 Plch2 Dock5
686334676	Lamp5 Plch2 Dock5
687104367	Lamp5 Lhx6
687907602	Sst Chrna2 Glra3
688115867	Sst Rxfp1 Prdm8
688130343	Pvalb Gabrg1
688133055	Sst Tac2 Tacstd2
688145929	Pvalb Th Sst
688152462	Lamp5 Plch2 Dock5
688152504	Sst Nts
688382422	Pvalb Tpbg
688926074	Sst Rxfp1 Prdm8
688958418	Sst Hpse Cbln4
688970669	Sst Calb2 Pdlim5
689017383	Sst Rxfp1 Prdm8
689030611	Pvalb Calb1 Sst
689098357	Sst Hpse Cbln4
689123951	Sst Chodl
689145054	Lamp5 Lhx6
689256816	Lamp5 Lsp1
689279957	Lamp5 Ntn1 Npy2r
689280134	Pvalb Gabrg1
689656936	Sst Calb2 Pdlim5
689678479	Sst Rxfp1 Prdm8
689705007	Pvalb Reln Itm2a
689775309	Pvalb Th Sst
689791001	Sst Chodl
689797731	Pvalb Gabrg1
691433259	Vip Rspo4 Rxfp1 Chat
691433482	Vip Col15a1 Pde1a
691511791	Vip Rspo4 Rxfp1 Chat
691547521	Vip Igfbp6 Car10
691665864	Lamp5 Plch2 Dock5
691670691	Sst Tac2 Tacstd2
691673416	Lamp5 Lsp1
691685873	Lamp5 Lsp1
691703809	Pvalb Sema3e Kank4
691719142	Vip Lmo1 Myl1
692015490	Sst Rxfp1 Prdm8
692044280	Sst Nts
692068557	Sst Calb2 Pdlim5
692161037	Sst Calb2 Pdlim5
692247628	Vip Lmo1 Myl1
692286150	Vip Lmo1 Myl1
692290052	Sst Chodl
