	CellType	Resting membrane potential (mV)	Max. AP frequency (Hz)	Frequency Slope (Hz/pA)	AP firing threshold (pA)	Input resistance (MOhm)	Series Resistance (MOhm)	Capacitance (pF)	AP basewidth (ms)	AP halfwidth (ms)	AP symmetricity	AP peak amplitude (mV)	Sag potential	Attenuation	Latency (ms)	Approx Resistance (MOhm)
O255	vBC	-68.4204	248.97281206760073	0.2768056143641507	450.0	59.237635328377905	13.649752802976739	55.87435636160002	0.5025958444664053	0.2507604470560303	0.45225116131735765	82.69462818962111	1.0986000000000047	1.3777588172416702	427.19999999999993	0.017929097658707878
O26	UC	-67.334	132.69328364840135	0.479423503719321	200.0	101.90532383983334	16.508498740236462	46.67909256400001	0.4598716749560222	0.2307668230627402	0.4805364440811845	80.77144132283968	1.7090000000000032	1.1073567738579495	85.60000000000002	0.07572270440532039
O282	vBC	-66.61075	241.58122881192608	0.3387948184425276	100.0	93.32188584866924	18.68161594483394	40.20951800000001	0.535020575108621	0.2552045945951019	0.4106130615846857	99.16048706079849	0.7202000000000055	1.3855775314227134	250.32000000000005	0.041648252465415814
O284	vBC	-67.45	235.4383792666073	0.1980380775584124	150.0	79.546704694234	18.916493517696004	49.90727054	0.5963832623214294	0.2825666046366355	0.3686751003627716	88.27519033227503	1.6296000000000106	1.3935113490771383	238.5200000000001	0.031096211944794703
O285	vBC	-53.323350000000005	198.29288619497086	0.7636266190308273	0.0	94.27887502675166	17.61148466048492	29.85492400000002	0.5460250417129524	0.28168565724393146	0.5129377202919797	67.56864600653257	0.665300000000002	1.2604494841568379	1182.7200000000003	0.05321229293790706
O286	vBC	-63.9282	311.76240886408027	0.2469657874648613	175.0	86.16084506556841	11.969660262738829	63.280436400000006	0.5312739636501163	0.2558790885123531	0.42159026665360055	79.1910278857039	0.8545000000000016	1.490940730429611	125.32000000000005	0.04313010020350466
O287	vBC	-63.4705	257.27648370908105	0.2678441784746618	113.11287617666605	160.84793886234183	15.995170226359809	54.85934520000001	0.5456851742381719	0.27053830639753085	0.41500399478250577	73.69268334449976	2.600100000000012	1.4781417618327932	106.28000000000009	0.0508746170717912
O290	vBC	-64.2273	310.97699649523076	0.4494570979357324	200.0	80.62097499782324	10.320064413714046	51.809987600000014	0.4357692068721087	0.20227524311392053	0.48778231552795526	81.6472394324031	0.726300000000009	1.4353776859957623	850.1999999999999	0.04257607081731796
O292	vBC	-68.8294	263.17343487531616	0.5259564834914571	225.0	77.22580206718025	14.119682950991146	40.18007800400001	0.43523286933953115	0.2120181701422192	0.49917903620858456	85.72529629421071	0.5371000000000095	1.2154586915726884	294.19999999999993	0.039383295329067015
O296	vBC	-65.0147	309.1696467155882	0.30718666678077655	425.0	52.56974033176763	13.248867387449215	58.8139856	0.4632970779843044	0.2263092301656486	0.47791270605137043	75.19292604420328	0.8057000000000016	1.498494969182047	1425.2399999999998	0.03684989196683088
O297	vBC	-66.8823	192.52649881157015	0.32449257527576825	375.0	67.57482729563513	14.605538011058728	61.30451380000001	0.5931385177224633	0.3093416185306044	0.45159496337092825	67.55022948518975	0.689700000000002	1.4862173000314	188.84000000000003	0.02989540671961988
O299	vBC	-63.4827	276.7012493237886	0.16162838039551028	50.0	74.01267096926995	17.272902357146624	55.245696000000024	0.5631481463136214	0.27349073921027256	0.39754250138194386	87.09463380409875	1.8371000000000066	1.3032088605625307	130.44000000000005	0.03157753108078999
O300	vBC	-68.0176	253.3825843591518	0.2932145995301134	300.0	69.12655828544017	15.406635021438333	54.98250680000001	0.5495529796106556	0.2792449285006394	0.4694034676615794	71.89403487927007	0.872799999999998	1.3339090118839516	39.960000000000036	0.03804687982615669
O301	vBC	-55.59995	223.7209567616665	0.3986780960128415	125.0	85.07467003789228	16.453029562145396	63.086466000000016	0.5843359412178313	0.31551028640108736	0.4931622843467054	64.84197974394766	1.0253999999999905	1.2453578025082197	42.360000000000014	0.04098137258331547
O303	vBC	-66.9678	250.96951166208785	0.2629771248609359	350.0	59.09671614913506	14.547077470315596	53.470134955999995	0.4608194371828961	0.2197693842470176	0.47304805887474544	78.81227142876075	0.848399999999998	1.2080954714719208	255.48000000000013	0.033619181268904064
O304	vBC	-66.217	210.39016845842343	0.3036995276948467	225.0	67.4944182116139	13.280499963013806	48.99778740000001	0.4629631147700849	0.21451714819198733	0.4619006506806163	90.21772757676484	0.750700000000009	1.1719232223093046	599.4	0.0311236766458837
O305	vBC	-65.4846	205.0264964920444	0.3043300652844597	500.0	49.19095634105861	12.694414965191914	65.6923172	0.44664978710015535	0.21487413616172302	0.4841117450799317	77.07003141302587	0.7934000000000054	1.1970397862354756	927.6	0.029636194047689034
O31	vBIC	-56.1401	132.79028549312815	0.39393844236648046	100.0	99.01411644258123	11.61632577009851	57.69564640000001	0.48959827002957484	0.24393508795053148	0.4421178379734127	86.11809509070318	1.5319999999999965	1.1191867116969687	785.1999999999999	0.061957861425757994
O32	vBIC	-60.8826	98.17172210328081	0.21913514896872546	163.5320736263285	112.99881916233976	11.445143997079198	47.50060383972	0.5941195387916902	0.31579275945228935	0.44440292643491475	72.30497008267923	0.6225000000000023	1.105490990389929	1271.44	0.06978838293212918
O34	UC	-57.20525	140.88356793012798	0.4342330942588198	50.0	120.68180877412264	21.106713644582783	37.930854059999994	0.5389857636545189	0.2718086183959366	0.42131938334080005	84.80783258751532	1.6113	1.1522513715714995	83.92000000000007	0.07376468942644816
O35	UC	-70.166	117.89659557150087	0.3494515099515152	173.09237783160594	112.18761358995877	17.745970688625295	47.609963904000004	0.5025680403181866	0.2623404998494955	0.4473110066729086	76.8522786763188	2.215599999999995	1.0581163287726405	374.08000000000004	0.07748655159839762
O36	vBC	-52.6489	185.78037936005046	0.45223004150328117	25.0	63.810019704534064	16.477418028140793	43.86485599999998	0.4870656653646964	0.25192503657476256	0.4651891209213775	79.51749534393083	0.9033000000000015	1.151966660848017	508.84000000000003	0.04804899183947688
O39	vBC	-57.92545	104.54029914089878	0.3226814020925923	198.63791958282573	64.88846322057017	7.317758898285055	69.12445280000003	0.5452726003414068	0.28080183976463036	0.406945762474883	71.54834574188494	1.3305000000000007	1.1043402238440856	185.2800000000001	0.05873937152559616
O41	vAAC	-61.1694	212.78825815324683	0.551167475064683	112.62348021882063	89.84563710933881	21.293448829851528	39.670589199999995	0.4550713500331003	0.24785721588651216	0.5121124331116157	62.039502287252475	1.550299999999993	1.1528665086613596	791.16	0.05575527401871501
O422	UC	-60.2722	239.0446597596283	0.49638749523500225	-125.0	170.5061817016176	14.328554617082993	48.05230600000001	0.5082822359684993	0.2653756329389336	0.47968401859203985	75.996463628486	10.742200000000004	1.604061087743108	714.7200000000001	0.07948689257700349
O423	UC	-59.5093	220.27083922489584	0.5873466905641795	-125.0	78.25163388550784	16.23368298870483	39.21684840000002	0.450122624191858	0.21518787276711115	0.47843572832490716	93.66055705254374	4.4861	1.3858381706537461	1110.2800000000002	0.06933966723545143
O424	hBC	-60.0891	66.85636400490671	0.15638329060916548	11.607150116095486	282.7243465045842	15.126054312267083	67.34414760000001	0.9109224104758922	0.4640791707006211	0.3451903820341091	81.64005737305384	11.474100000000007	1.9961080580885202	42.24000000000001	0.08783418393822011
O425	hBIC	-54.0771	207.50978595156553	0.3654082940673702	50.0	93.10680943168255	22.967338836460836	33.4023376688	0.5396110475936597	0.26040640854432306	0.4009228378013788	86.36321797180479	1.0985999999999905	1.636763216689183	300.15999999999997	0.04250675336960174
O426	hBC	-58.0139	242.27027256871392	0.3181875777531244	100.0	83.90203531235301	16.468348772355412	53.1709028	0.511418967763541	0.24534327821251894	0.42478479483507214	90.72718783580589	2.288799999999995	1.3988887473643352	82.0	0.03057881321855791
O427	hBIC	-56.8237	202.24615372390917	0.1741780395484176	139.54050818361105	148.17230133083766	12.436459068142813	39.387717200000004	0.5871689348013551	0.3030295694501558	0.4586864367084944	69.62232222196081	1.9836000000000098	1.5187732836252128	4.920000000000073	0.04131257511029974
O428	UC	-66.0095	137.9510660955047	0.3596651169108323	-75.0	204.57863348019353	29.00736282287588	31.94846100000001	0.6743586807326905	0.3650955313896651	0.4043561390143361	65.00959525907767	10.070799999999998	1.378056883890771	162.92000000000007	0.14869756743230828
O429	hBIC	-70.3125	204.77144011998973	0.31172422780517134	239.68958241149923	85.03883681157767	20.95181892482682	48.575160800000006	0.5152561677908801	0.2669330349196976	0.43167262198113227	78.3367663587305	2.532899999999998	1.1985850935633338	734.7600000000001	0.027920272454142678
O43	UC	-63.4827	109.07891712944021	0.37993867108299273	175.0	87.15555471111506	14.060758223575053	52.46950796000001	0.5962477745386909	0.31592644294279915	0.39122421902416327	80.88954041424878	1.0803000000000083	1.0850212246398856	841.32	0.07208906490414972
O430	vBC	-80.2002	168.69857107737386	0.21417414219901895	134.4673261483294	163.1337037000223	19.27899224492377	45.5382572	0.6465171571645925	0.34348606029034146	0.42292888434742315	71.50714076503009	1.1597000000000008	1.4736836331299699	79.92000000000007	0.03838144012016281
O431	UC	-49.3164	161.9403447538236	0.8054348511381964	-250.0	63.87060938660999	18.511291059165817	22.28699840000001	0.6887763667952613	0.3801624431095714	0.4586144372936266	66.61535000492455	18.127499999999998	1.0937347995447544	44.60000000000002	0.04684620731339306
O433	hBIC	-67.6575	244.17350691647624	0.5435148224310067	186.38555077718465	110.43502787048799	14.287390400713868	51.60150080000001	0.49006128375413693	0.25664824004439774	0.47381294801940904	71.93034139640483	2.044700000000006	1.3520431900333476	130.04000000000008	0.03061584594232502
O434	hBC	-60.6079	191.32584019941982	0.24503689858439104	46.069079466644745	85.03883681157767	20.95181892482682	48.575160800000006	0.8408799771437359	0.45176853303439907	0.3694436714981504	79.47412070850523	1.3733000000000004	1.3400705546933231	1436.6	0.030123194513329805
O435	vBC	-69.9768	205.9847519138022	0.35307044435133844	214.92138087116274	60.712469327301584	16.99445832806718	54.702702599999995	0.5717783384240008	0.2979343377558025	0.390736406518371	82.21111314912069	2.471899999999991	1.2493969690457498	213.32000000000005	0.028354545268162102
O436	UC	-69.8242	206.43333927004963	0.4669916624359713	-50.0	108.4299857443845	14.150335779473108	47.292420800000016	0.4821631332855483	0.24166432001473365	0.4556957503541999	76.52224883451517	5.279499999999999	1.5555760879749698	91.88	0.07233106998616283
O439	hBC	-83.1604	148.08510121418738	0.17062803965438653	158.35551746933083	239.13976643219013	12.913294010200856	51.15775520000001	0.6613381371838253	0.3508205824538748	0.40579509863119023	71.81310967070573	1.9835999999999956	1.4824553618994551	181.4000000000001	0.03489344052468011
O44	vBIC	-54.1809	109.98069108375347	0.24494004318989357	179.21145907987076	69.00154080440616	9.98406244112523	41.680844000000015	0.538324739500782	0.2861013466355407	0.42228878180435775	73.34979889053699	0.8057000000000016	1.1513675720231213	425.4	0.04653226001775137
O440	hBC	-75.0427	242.8788265762647	0.44541576056879856	180.96020117997315	165.98170994423978	14.237240508886698	46.93438080000001	0.4707862172033963	0.24383912225710086	0.4836572676162516	74.54481025070123	2.807699999999997	1.3902654553610536	1325.92	0.028718749892392918
O441	UC	-70.8008	245.86716106656453	0.6655680092504027	-75.0	84.49509155338903	18.696408963903533	52.791632000000014	0.477658138004256	0.2317737818218486	0.452613438605569	84.24230455827981	4.638600000000011	1.5489391066990643	188.92000000000007	0.06019390142875948
O442	Cortical	-61.8896	244.81605187928685	0.40961696509227347	-100.0	118.16744042706658	17.799812204861315	32.61259680000001	0.42222118604774805	0.20930187605146935	0.5214407313515552	76.18069253290287	6.408699999999996	1.5395512650797225	10.280000000000086	0.054819673510598244
O443	Cortical	-71.7163	280.8746864228288	0.6438979624321803	-75.0	141.60949041881514	10.167058641345289	58.76549360000001	0.46451294448448344	0.23852657035193606	0.4852193835328841	71.61021947583257	5.371099999999998	1.3785049014643922	48.440000000000055	0.050067182025317195
O444	Cortical	-70.0684	197.18294772977075	0.4530017353300207	-75.0	151.74202423435455	15.808141718447633	30.37400520000001	0.7218057704541441	0.4133556742238287	0.38841711187562267	63.142376922161034	9.0638	1.1522092839770621	77.5200000000001	0.10293084676942946
O445	Cortical	-66.1926	235.5145923550592	0.49846285354982706	-25.0	83.13872635960709	12.685369882996111	50.03207840000001	0.48297905556443155	0.2514161096082518	0.4738855985839139	76.69557873387645	4.6081999999999965	1.2926203738674742	156.92000000000007	0.051614049335172704
O447	Cortical	-75.7446	189.77321990072807	0.29742195438505403	-25.0	180.0790082242263	15.533249922577236	32.427064400000006	0.6938645474512758	0.37825921972479015	0.3952125348538959	71.31562715300453	9.551999999999992	1.3398645261829578	7.480000000000018	0.09372160330515558
