Cell	CellType	X	Y
GSM2659441	Pvalb.Tac1.Akr1c18	0.21914373338222504	2.577631950378418
GSM2659462	Pvalb.Tac1.Nr4a2	2.53832745552063	6.191771030426025
GSM2659465	Pvalb.Tac1.Sst	3.410259485244751	5.486281394958496
GSM2659468	Pvalb.C1ql1.Pvalb	-0.07848811894655228	6.88527774810791
GSM2659490	Pvalb.C1ql1.Cpne5	-0.25854694843292236	4.512413501739502
GSM2659513	Pvalb.Tac1.Akr1c18	0.4012393057346344	5.050094127655029
GSM2659521	Pvalb.Tac1.Syt2	3.330559253692627	5.792288780212402
GSM2659543	Pvalb.C1ql1.Pvalb	0.04149527847766876	5.053868293762207
GSM2659555	Pvalb.C1ql1.Npy	-2.2836687564849854	4.269399166107178
GSM2659591	Pvalb.Tac1.Syt2	3.090367078781128	6.566375732421875
GSM2659598	Pvalb.C1ql1.Pvalb	-1.1196935176849365	5.158104419708252
GSM2659615	Pvalb.C1ql1.Pvalb	-0.19890210032463074	3.049015522003174
GSM2659625	Pvalb.Tac1.Akr1c18	1.1771721839904785	2.7237024307250977
GSM2659654	Pvalb.C1ql1.Pvalb	-0.566081702709198	4.0047807693481445
GSM2659655	Pvalb.Tac1.Syt2	2.6612870693206787	4.291969299316406
GSM2659668	Pvalb.Tac1.Akr1c18	-0.16877011954784393	2.692401885986328
GSM2659672	Pvalb.Tac1.Sst	3.1084866523742676	6.577237606048584
GSM2659683	Pvalb.Tac1.Sst	2.627601385116577	5.828667163848877
GSM2659696	Pvalb.Tac1.Syt2	3.2470009326934814	6.209144592285156
GSM2659714	Pvalb.Tac1.Syt2	2.133460521697998	5.25248384475708
GSM2659720	Pvalb.C1ql1.Pvalb	-0.14161090552806854	3.9058401584625244
GSM2659721	Pvalb.C1ql1.Pvalb	-1.926132321357727	5.224655628204346
GSM2659724	Pvalb.Tac1.Akr1c18	1.7462310791015625	3.0401129722595215
GSM2659727	Pvalb.C1ql1.Npy	0.6471937298774719	5.742298126220703
GSM2659742	Pvalb.Tac1.Syt2	3.5636608600616455	6.707812309265137
GSM2659747	Pvalb.Tac1.Syt2	2.4734792709350586	5.616878032684326
GSM2659769	Pvalb.C1ql1.Pvalb	-1.8106998205184937	3.8676774501800537
GSM2659805	Pvalb.Tac1.Nr4a2	2.4818434715270996	7.123201370239258
GSM2659821	Pvalb.C1ql1.Cpne5	-0.4387231469154358	6.635441780090332
GSM2659829	Pvalb.Tac1.Syt2	1.9311251640319824	6.3240790367126465
GSM2659832	Pvalb.C1ql1.Cpne5	0.18240444362163544	6.729233264923096
GSM2659834	Pvalb.Tac1.Sst	4.256947994232178	5.453353404998779
GSM2659835	Pvalb.C1ql1.Pvalb	0.11408289521932602	3.0672011375427246
GSM2659838	Pvalb.Tac1.Akr1c18	0.5185112953186035	3.4772984981536865
GSM2659844	Pvalb.C1ql1.Cpne5	-2.020888090133667	5.321334362030029
GSM2659863	Pvalb.Tac1.Akr1c18	2.3928074836730957	4.391926288604736
