SRA	Cell
SRR7327006	F2S4_160119_006_A01
SRR7327007	F2S4_160119_006_B01
SRR7327008	F2S4_160119_006_C01
SRR7327009	F2S4_160119_006_D01
SRR7327010	F2S4_160119_006_E01
SRR7327012	F2S4_160119_006_F01
SRR7327013	F2S4_160119_006_G01
SRR7327014	F2S4_160119_006_H01
SRR7332466	F2S4_160120_001_A01
SRR7332577	F2S4_160120_001_B01
SRR7332688	F2S4_160120_001_C01
SRR7332799	F2S4_160120_001_D01
SRR7332910	F2S4_160120_001_E01
SRR7332922	F2S4_160120_001_F01
SRR7332933	F2S4_160120_001_G01
SRR7332944	F2S4_160120_001_H01
SRR7332955	F2S4_160120_002_A01
SRR7332467	F2S4_160120_002_B01
SRR7332478	F2S4_160120_002_C01
SRR7332489	F2S4_160120_002_D01
SRR7332500	F2S4_160120_002_E01
SRR7332511	F2S4_160120_002_F01
SRR7332522	F2S4_160120_002_G01
SRR7332533	F2S4_160120_002_H01
SRR7332544	F2S4_160120_006_A01
SRR7332555	F2S4_160120_006_B01
SRR7332566	F2S4_160120_006_C01
SRR7332578	F2S4_160120_006_D01
SRR7332589	F2S4_160120_006_E01
SRR7332600	F2S4_160120_006_F01
SRR7332611	F2S4_160120_006_G01
SRR7332622	F2S4_160120_006_H01
SRR7332633	F2S4_160120_007_A01
SRR7332644	F2S4_160120_007_B01
SRR7332655	F2S4_160120_007_C01
SRR7332666	F2S4_160120_007_D01
SRR7332677	F2S4_160120_007_E01
SRR7332689	F2S4_160120_007_F01
SRR7332700	F2S4_160120_007_G01
SRR7332711	F2S4_160120_007_H01
SRR7332722	F2S4_160120_011_A01
SRR7332733	F2S4_160120_011_B01
SRR7332744	F2S4_160120_011_C01
SRR7332755	F2S4_160120_011_D01
SRR7332766	F2S4_160120_011_E01
SRR7332777	F2S4_160120_011_F01
SRR7332788	F2S4_160120_011_G01
SRR7332800	F2S4_160120_011_H01
SRR7332811	F2S4_160120_012_A01
SRR7332822	F2S4_160120_012_B01
SRR7332833	F2S4_160120_012_C01
SRR7332844	F2S4_160120_012_D01
SRR7332855	F2S4_160120_012_E01
